USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,combine_USAF_WBAN
721035,00352,HAZLEHURST AIRPORT,US,GA,KAZE,+31.885,-082.647,+0078.0,20130101,20180620,72103500352
721035,99999,HAZLEHURST,US,GA,KAZE,+31.885,-082.647,+0077.7,20120705,20180516,72103599999
722062,63842,DOUGLAS MUNICIPAL AIRPORT,US,GA,KDQH,+31.477,-082.861,+0078.3,20060101,20180620,72206263842
722062,99999,DOUGLAS MUNI,US,GA,KDQH,+31.478,-082.860,+0078.0,20040510,20071231,72206299999
722070,03822,SAVANNAH/HILTON HEAD INTL AIRPORT,US,GA,KSAV,+32.131,-081.202,+0014.0,19480101,20180620,72207003822
722072,03894,CLARKSVILLE,US,TN,KCKV,+36.624,-087.419,+0167.6,20060101,20100801,72207203894
722072,99999,CLARKSVILLE,US,TN,,+36.617,-087.417,+0165.0,20040608,20100817,72207299999
722077,99999,TYBEE COAST GUARD STATION,US,GA,,+32.020,-080.850,+0002.0,19750911,19871030,72207799999
722080,13880,CHARLESTON AFB/INTERNATIONAL AIRPORT,US,SC,KCHS,+32.899,-080.041,+0012.2,19450101,20180620,72208013880
722083,99999,CHARLESTON AFB,US,SC,,+32.900,-080.050,+0014.0,19951004,19951005,72208399999
722085,93831,BEAUFORT MCAS,US,SC,KNBC,+32.483,-080.717,+0011.3,19450401,20180620,72208593831
722086,13758,CHARLESTON NAS,US,SC,KNAO,+32.850,-079.950,+0001.0,19730201,19800730,72208613758
722086,99999,CHARLESTON NS,US,SC,KNAO,+32.860,-079.950,+0001.0,20000129,20020625,72208699999
722090,03875,WRIGHT AAF AIRPORT,US,GA,KLHW,+31.883,-081.567,+0013.7,20060103,20180620,72209003875
722090,99999,FT STEWART/WRIGHT,US,GA,KLHW,+31.883,-081.567,+0014.0,19670201,20071231,72209099999
722109,00355,CHEROKEE COUNTY AIRPORT,US,GA,KCNI,+34.317,-084.417,+0372.2,20180101,20180620,72210900355
722109,99999,CHEROKEE COUNTY AIRPORT,US,GA,KCNI,+34.300,-084.417,+0372.0,20040525,20071231,72210999999
722130,13861,WAYCROSS-WARE CO. AIRPORT,US,GA,KAYS,+31.250,-082.400,+0043.3,19421201,20180620,72213013861
722130,99999,WAYCROSS/WARE CO.,US,GA,KAYS,+31.250,-082.400,+0046.0,20001004,20031231,72213099999
722134,63822,VIDALIA REGIONAL AIRPORT,US,GA,KVDI,+32.193,-082.372,+0083.5,20060101,20180620,72213463822
722134,99999,VIDALIA RGNL,US,GA,KVDI,+32.200,-082.367,+0084.0,20010705,20071231,72213499999
722135,13870,ALMA/BACON CO.,US,GA,KAMG,+31.536,-082.507,+0062.8,19730101,20100801,72213513870
722135,99999,ALMA/BACON CO.,US,GA,,+31.533,-082.500,+0061.0,20100801,20100817,72213599999
722136,53883,BRUNSWICK GOLDEN ISLES APT,US,GA,KBQK,+31.259,-081.466,+0007.9,20060101,20180620,72213653883
722136,99999,BRUNSWICK GOLDEN IS,US,GA,KBQK,+31.250,-081.467,+0008.0,19730101,20071231,72213699999
722137,13878,MALCOLM MC KINNON AIRPORT,US,GA,KSSI,+31.152,-081.391,+0004.9,19730101,20180620,72213713878
722147,53817,MOULTRIE MUNICIPAL AIRPORT,US,GA,KMGR,+31.083,-083.800,+0086.3,20060101,20180620,72214753817
722147,99999,MOULTRIE MUNI,US,GA,KMGR,+31.085,-083.803,+0090.0,19420501,20071231,72214799999
722150,99999,PEACHTREE CITY,US,GA,,+33.356,-084.567,+0244.9,19990428,20060212,72215099999
722154,53885,DALTON MUNICIPAL AIRPORT,US,GA,KDNN,+34.722,-084.869,+0216.4,20060101,20180620,72215453885
722154,99999,DALTON,US,GA,KDNN,+34.722,-084.869,+0216.0,19990114,20071231,72215499999
722156,53873,CARTERSVILLE AIRPORT,US,GA,KVPC,+34.123,-084.849,+0232.6,20060101,20180620,72215653873
722156,99999,CARTERSVILLE,US,GA,KVPC,+34.117,-084.850,+0231.0,20010705,20071231,72215699999
722160,13869,SW GEORGIA REGIONAL ARPT,US,GA,KABY,+31.536,-084.194,+0057.9,19730101,20180620,72216013869
722160,99999,ALBANY MUNICIPAL,US,GA,KABY,+31.533,-084.183,+0059.0,20000101,20031231,72216099999
722166,93845,VALDOSTA REGIONAL AIRPORT,US,GA,KVLD,+30.783,-083.277,+0060.4,19480101,20180620,72216693845
722166,99999,VALDOSTA RGNL,US,GA,KVLD,+30.783,-083.267,+0062.0,20000101,20031231,72216699999
722167,03718,ORANGE COUNTY AIRPORT,US,VA,KOMH,+38.247,-078.046,+0143.0,20060101,20180620,72216703718
722167,99999,ORANGE CO,US,VA,KOMH,+38.250,-078.050,+0142.0,19570101,20071231,72216799999
722170,03813,MIDDLE GEORGIA REGIONAL AIRPORT,US,GA,KMCN,+32.685,-083.653,+0104.6,19411020,20180620,72217003813
